star,region,constellation,security_status,connections
Kadlina,Molden Heath,Elfrard,0.42,"['Kattegaud', 'Hegfunden', 'Aeditide']"
Hegfunden,Molden Heath,Elfrard,0.32,"['Kattegaud', 'Kadlina', 'Aeditide']"
LX-ZOJ,Geminate,NK-AOZ,-0.45,"['O-VWPB', '04-LQM', '4VY-Y1', 'LU-HQS']"
6L78-1,Geminate,NK-AOZ,-0.4,"['O-VWPB', '04-LQM', '4VY-Y1', 'U-L4KS', '6YC-TU']"
4VY-Y1,Geminate,NK-AOZ,-0.37,"['O-VWPB', 'LX-ZOJ', '6L78-1', 'LU-HQS']"
HJO-84,Geminate,V1G-63,-0.35,"['P-E9GN', '4D9-66']"
L-TOFR,Geminate,V1G-63,-0.73,"['9-GBPD', 'P-E9GN', '4D9-66', 'Q-TBHW']"
4K0N-J,Geminate,RJ-1R7,-0.13,['TZL-WT']
W-3BSU,Geminate,RJ-1R7,-0.09,"['B-F1MI', 'BE-UUN']"
BE-UUN,Geminate,RJ-1R7,-0.12,"['B-F1MI', 'W-3BSU']"
Appen,Heimatar,Urtfer,0.82,"['Javrendei', 'Klir']"
Hedgiviter,Heimatar,Benurad,0.42,['Otraren']
Schoorasana,Sinq Laison,Spaen,0.45,"['Gratesier', 'Mormelot']"
Soosat,Devoid,Kabo,0.34,"['Rahadalon', 'Ibash']"
Itsyamil,Devoid,Kabo,0.25,"['Rahadalon', 'Ibash']"
Imata,The Bleak Lands,Ohvarainen,0.49,"['Ayeroilen', 'Furskeshin']"
M2-CF1,Syndicate,2-M6DE,-0.14,"['8-JYPM', 'JH-M2W', '97X-CH', 'VV-VCR']"
PC9-AY,Syndicate,Y4Y7-Q,-0.16,"['JH-M2W', 'T22-QI', 'X-PYH5']"
QWF-6P,Syndicate,DS-M4Q,-0.13,"['8-JYPM', 'AAS-8R', '1-NKVT']"
AAS-8R,Syndicate,DS-M4Q,-0.09,"['ZVN5-H', 'QWF-6P', 'V4-L0X']"
V4-L0X,Syndicate,DS-M4Q,-0.07,"['ATY-2U', 'AAS-8R', 'PFP-GU', 'T-LIWS', 'KTHT-O']"
PFP-GU,Syndicate,DS-M4Q,-0.05,"['ATY-2U', 'V4-L0X', '0EK-NJ']"
TXW-EI,Syndicate,YFN-UN,-0.01,"['5-FGQI', '3MOG-V', 'NG-C6Y', 'Vestouve']"
2P-4LS,Syndicate,49A-BZ,-0.12,"['0LTQ-C', 'A-SJ8X']"
LSC4-P,Syndicate,49A-BZ,-0.31,"['0LTQ-C', '10UZ-P']"
E9KD-N,Fade,7X-X1Y,-0.41,"['FIO1-8', 'WQY-IQ', '6RCQ-V']"
9UY4-H,Providence,G2E-RJ,-0.08,"['ZQ-Z3Y', '4B-NQN', '49GC-R', 'U-HYMT', 'H6-CX8']"
Shintaht,Providence,I9B-8X,-0.09,"['H6-CX8', 'D-6WS1']"
B-WPLZ,Providence,XV7L-S,-0.2,"['KBP7-G', 'E-YCML', 'TU-O0T', 'Y9-MDG']"
XHQ-7V,Providence,XV7L-S,-0.17,"['YWS0-Z', 'KBP7-G', 'JEIV-E']"
R3-K7K,Providence,04-H4M,-0.03,"['Misaba', 'N8XA-L', 'X-R3NM']"
Barleguet,Placid,Ganoure,0.07,"['Aulbres', 'Vestouve', 'Ausmaert']"
Sazre,Khanid,Nohshayess,0.81,"['Jachanu', 'Badivefi']"
Lansez,Khanid,Youledian,0.73,"['Bukah', 'Keberz']"
Col,Khanid,Fekhoya,0.53,"['Afnakat', 'Chamemi', 'Tegheon']"
Nahrneder,Khanid,Akar,0.25,"['Amafi', 'Abath']"
1-3HWZ,Cloud Ring,Yrton,-0.04,"['A-SJ8X', 'XT-R36']"
O-BDXB,Cloud Ring,Prelle,-0.26,"['9-4RP2', 'Z-Y7R7', 'MJYW-3']"
P5-KCC,Cloud Ring,Miennue,-0.02,"['XG-D1L', '28O-JY', '6ON-RW', 'X-M9ON']"
Ardhis,Kador,Favo,0.4,"['Bushemal', 'Iaokit']"
Hapala,Kador,Naloran,0.88,"['Yebouz', 'Salah']"
Udianoor,Aridia,Mareerieh,0.38,"['Onanam', 'Vehan']"
C0T-77,Outer Ring,Crown,-0.01,"['3KNK-A', 'RL-KT0', 'P-NUWP', 'TQ-RR8']"
NP6-38,Outer Ring,Scepter,-0.17,"['B0C-LD', 'G-YT55', 'IZ-AOB', 'G5-EN3', 'W-Z3HW']"
G-YT55,Outer Ring,Scepter,-0.04,"['NP6-38', 'IZ-AOB', 'G5-EN3']"
G5-EN3,Outer Ring,Scepter,-0.02,"['NP6-38', 'G-YT55', 'IZ-AOB']"
Z9PP-H,Fountain,Centaur,-0.03,"['YZS5-4', '7-8S5X', 'EI-O0O']"
7X-02R,Fountain,Centaur,-0.09,"['EI-O0O', 'D2AH-Z']"
Ranni,Kor-Azor,Tendrara,0.37,"['Miroona', 'Arza']"
Hesarid,Genesis,Ashela,0.37,['Toon']
Tahli,Genesis,Reya,0.56,"['Gergish', 'Kobam', 'Hirizan']"
Kobam,Genesis,Reya,0.54,"['Gergish', 'Tahli', 'Hirizan']"
Hirizan,Genesis,Reya,0.49,"['Rayeret', 'Tahli', 'Kobam']"
Anyed,Genesis,Charak,0.56,"['Imya', 'Habu', 'Asanot', 'Anzalaisio']"
Itrin,Genesis,Makh,0.39,"['Asanot', 'Anzalaisio', 'Abhan', 'Saphthar', 'Keri']"
Bantish,Genesis,Makh,0.31,"['Saphthar', 'Korridi', 'Lela', 'Azedi']"
Korridi,Genesis,Makh,0.32,"['Bantish', 'Gonditsa']"
Angur,Genesis,Monalaz,0.18,"['Djimame', 'Hangond', 'Access']"
Hangond,Genesis,Monalaz,0.21,"['Djimame', 'Angur']"
Shalne,Genesis,Aven,0.31,"['Gonditsa', 'Shapisin', 'Olin', 'Galnafsad']"
Shapisin,Genesis,Aven,0.35,"['Gonditsa', 'Shalne', 'Galnafsad']"
Onsooh,Derelik,Anares,0.44,"['Chidah', 'Asabona', 'Shamahi', 'Sendaya', 'Nazhgete']"
Jaymass,Derelik,Ananah,0.22,"['Faspera', 'Mifrata', 'Ihal', 'Camal']"
Mifrata,Derelik,Ananah,0.3,"['Sendaya', 'Faspera', 'Jaymass', 'Majamar', 'Ihal']"
Pirohdim,Derelik,Mekashtad,0.63,"['Zet', 'Thiarer']"
Jangar,Derelik,Bedaleya,0.53,['Hasateem']
Arena,Derelik,Mal,0.44,"['Kehrara', 'Uhtafal', 'Dysa', 'Serad']"
Serad,Derelik,Mal,0.53,"['Arena', 'Uhtafal']"
KX-2UI,Vale of the Silent,UK-MI6,-0.16,"['H-NOU5', 'MO-FIF', '97-M96']"
IR-DYY,Vale of the Silent,YDS0-Y,-0.16,"['H-1EOH', 'C-DHON', 'F-D49D']"
UNAG-6,Vale of the Silent,A3-T8B,-0.22,"['H-EY0P', 'E-SCTX', '7-PO3P']"
1N-FJ8,Vale of the Silent,DILJ-7,-0.22,['2DWM-2']
ZLZ-1Z,Vale of the Silent,0-8MWQ,-0.17,"['VI2K-J', '6Y-WRK', 'RVCZ-C']"
6Y-WRK,Vale of the Silent,0-8MWQ,-0.16,"['ZLZ-1Z', '5T-KM3']"
RVCZ-C,Vale of the Silent,0-8MWQ,-0.14,"['VI2K-J', 'ZLZ-1Z', 'LS9B-9']"
C-FP70,Vale of the Silent,F-V9QW,-0.76,"['1-GBBP', 'T-ZWA1', 'ZA0L-U']"
T-ZWA1,Vale of the Silent,F-V9QW,-0.75,"['1-GBBP', 'C-FP70', 'QFF-O6']"
ZA0L-U,Vale of the Silent,F-V9QW,-0.81,"['1-GBBP', 'C-FP70', 'G96R-F']"
B-E3KQ,Vale of the Silent,E-8CSQ,-0.26,"['5T-KM3', 'Y5J-EU', 'O-LR1H']"
Y5J-EU,Vale of the Silent,E-8CSQ,-0.22,"['B-E3KQ', 'O-LR1H', 'G5ED-Y', '8-TFDX', '2CG-5V']"
9-GBPD,Vale of the Silent,9KX-M0,-0.16,"['A3-RQ3', 'LS-JEP', 'L-TOFR']"
7G-H7D,Vale of the Silent,88G-M4,-0.36,"['1VK-6B', 'R-RSZZ', 'MGAM-4', 'VORM-W']"
QFF-O6,Tribute,W-XBGF,-0.54,"['T-ZWA1', '2CG-5V']"
N-DQ0D,Great Wildlands,730-KH,-0.07,"['NIH-02', 'P1T-LP', 'LXTC-S']"
CRXA-Y,Great Wildlands,V-LQBF,-0.08,"['JPL-RA', 'F8K-WQ', 'AZF-GH']"
W-RFUO,Great Wildlands,BB8E-G,-0.16,"['0NV-YU', 'V-2GYS', 'AI-EVH', 'F-MKH3']"
F-MKH3,Great Wildlands,BB8E-G,-0.12,"['W-RFUO', 'AI-EVH', 'ZM-DNR']"
SL-YBS,Great Wildlands,V-4QJC,-0.03,"['NIH-02', 'UNJ-GX', '6WT-BE']"
0PI4-E,Great Wildlands,V-4QJC,0,"['UNJ-GX', '6WT-BE', '9SNK-O']"
6WT-BE,Great Wildlands,V-4QJC,0,"['SL-YBS', '0PI4-E', '9SNK-O']"
0-3VW8,Great Wildlands,I3-2J0,-0.03,"['F7A-MR', '28-QWU']"
M9U-75,Great Wildlands,I3-2J0,-0.14,"['UD-AOK', 'K-IYNW']"
ZQ-Z3Y,Catch,T-HHHT,-0.09,"['G-AOTH', '9UY4-H']"
YP-J33,Venal,ST-0EZ,-0.14,"['1-Y6KI', 'D-8SI1']"
K3JR-J,Venal,48R-PS,-0.14,"['D-8SI1', 'CSOA-B']"
0-BFTQ,Venal,UTZ-7B,-0.17,"['BV-1JG', 'SS-GED']"
6NJ8-V,Venal,UTZ-7B,-0.18,"['BV-1JG', 'AJCJ-1', 'Y-4CFK']"
HBD-CC,Venal,E-I1JW,-0.12,"['D-8SI1', 'P-GKF5', 'E-7U8U', 'SBL5-R', 'D-SKWC']"
0-O2UT,Venal,Y8-HHZ,-0.42,"['JURU-T', 'B-CZXG', 'Q61Y-F', 'FHB-QA']"
Z3U-GI,Venal,0HD-6C,-0.6,"['FHB-QA', 'B3QP-K', 'GVZ-1W', '42XJ-N']"
GVZ-1W,Venal,0HD-6C,-0.9,"['Z3U-GI', 'B3QP-K']"
KI-TL0,Pure Blind,U8-CWA,-0.18,"['D7T-C0', 'EL8-4Q', 'XI-VUF']"
5-9WNU,Pure Blind,U8-CWA,-0.19,"['EL8-4Q', '12YA-2']"
C-H9X7,Pure Blind,WMP-OF,-0.11,"['ION-FG', 'A8I-C5']"
UC3H-Y,Pure Blind,K-QUVW,-0.1,"['RD-G2R', '6GWE-A', 'KDV-DE', 'MT9Q-S']"
B-9C24,Pure Blind,LN-L8L,-0.07,"['F-NMX6', 'P-2TTL', '7X-VKB']"
Kattegaud,Molden Heath,Elfrard,0.72,"['Weld', 'Kadlina', 'Hegfunden']"
04-LQM,Geminate,NK-AOZ,-0.64,"['LX-ZOJ', '6L78-1', 'Y8R-XZ']"
LU-HQS,Geminate,NK-AOZ,-0.42,"['LX-ZOJ', '4VY-Y1', 'K25-XD']"
U-L4KS,Geminate,NK-AOZ,-0.48,"['6L78-1', 'K25-XD', '6YC-TU', 'D-I9HJ']"
6YC-TU,Geminate,NK-AOZ,-0.37,"['6L78-1', 'U-L4KS', 'O2O-2X']"
4D9-66,Geminate,V1G-63,-0.42,"['HJO-84', 'L-TOFR']"
Q-TBHW,Geminate,V1G-63,-0.78,"['L-TOFR', '9P4O-F']"
Klir,Heimatar,Urtfer,0.76,"['Appen', 'Jorus']"
4U90-Z,Deklein,29V-1R,-0.1,"['9-R6GU', 'T-945F', 'FO8M-2', 'AD-CBT']"
Ibash,Devoid,Kabo,0.22,"['Soosat', 'Itsyamil', 'Ussad']"
Furskeshin,The Bleak Lands,Ohvarainen,0.61,"['Imata', 'Satalama']"
T22-QI,Syndicate,Y4Y7-Q,-0.17,['PC9-AY']
X-PYH5,Syndicate,Y4Y7-Q,-0.2,"['PC9-AY', 'ZN0-SR']"
1-NKVT,Syndicate,DS-M4Q,-0.16,"['QWF-6P', 'KTHT-O']"
KTHT-O,Syndicate,DS-M4Q,-0.05,"['V4-L0X', '1-NKVT']"
97X-CH,Syndicate,TA-A7V,-0.2,"['M2-CF1', '5-T0PZ', '2Q-I6Q', 'Y9G-KS']"
VV-VCR,Syndicate,MK7-AO,-0.17,"['M2-CF1', '5-75MB', 'IIRH-G']"
3MOG-V,Syndicate,YFN-UN,0,"['TXW-EI', 'Y-W6GF']"
NG-C6Y,Syndicate,YFN-UN,0,"['TXW-EI', 'XYY-IA']"
A-SJ8X,Syndicate,49A-BZ,-0.09,"['2P-4LS', '1-3HWZ', '4C-B7X']"
10UZ-P,Syndicate,GN-ACS,-0.13,"['LSC4-P', 'EN-VOD', '9GYL-O', '9U-TTJ']"
EOY-BG,Tenal,M-J57M,-0.07,"['B3QP-K', 'S-EVIQ', 'IG-ZAM']"
OE-4HB,Tenal,2-ZRM0,-1,"['42XJ-N', 'GW7P-8', 'A1RR-M', 'AR-5SY']"
C8-CHY,Fade,XFLN-F,-0.29,"['ROIR-Y', 'E-9ORY']"
FIO1-8,Fade,7X-X1Y,-0.37,"['YKSC-A', 'E9KD-N', '8W-OSE']"
WQY-IQ,Fade,7X-X1Y,-0.3,"['E9KD-N', '8W-OSE']"
G-5EN2,Providence,G2E-RJ,-0.2,"['Assah', '9-F0B2']"
YWS0-Z,Providence,G2E-RJ,-0.14,"['9-F0B2', '4B-NQN', 'XHQ-7V']"
4B-NQN,Providence,G2E-RJ,-0.1,"['9-F0B2', 'YWS0-Z', '9UY4-H']"
49GC-R,Providence,G2E-RJ,-0.08,"['9UY4-H', '3GXF-U']"
U-HYMT,Providence,AZBG-H,-0.07,"['9UY4-H', 'FC-3YI', 'QR-K85', '5IO8-U']"
D-6WS1,Providence,I9B-8X,-0.11,"['Shintaht', 'SI-I89']"
E-YCML,Providence,XV7L-S,-0.15,"['B-WPLZ', 'TU-O0T', 'Y9-MDG']"
TU-O0T,Providence,XV7L-S,-0.15,"['B-WPLZ', 'E-YCML', 'Y9-MDG']"
Y9-MDG,Providence,XV7L-S,-0.19,"['B-WPLZ', 'E-YCML', 'TU-O0T']"
JEIV-E,Providence,P6N8-J,-0.14,"['XHQ-7V', 'O-Y5JQ', 'DNR-7M', 'N-RMSH']"
N8XA-L,Providence,04-H4M,-0.07,"['1-1I53', 'R3-K7K']"
X-R3NM,Providence,04-H4M,-0.05,"['R3-K7K', '8B-VLX', 'G-B22J', 'X6AB-Y']"
Vestouve,Placid,Ganoure,0.04,"['TXW-EI', 'Barleguet', 'Espigoure']"
Ausmaert,Placid,Ganoure,0.07,"['Barleguet', 'Kenninck']"
Keberz,Khanid,Youledian,0.53,"['HED-GP', 'Lansez', 'Nourbal', 'Arzanni']"
Badivefi,Khanid,Sib,0.66,"['Sazre', 'Talidal', 'Ashi', 'Tzashrah']"
Afnakat,Khanid,Fekhoya,0.6,"['Arzanni', 'Col', 'Firbha', 'Parses']"
Chamemi,Khanid,Fekhoya,0.44,"['Col', 'Bashyam', 'Parses']"
Amafi,Khanid,Akar,0.29,"['Ham', 'Hakana', 'Ashkoo', 'Nahrneder']"
9-4RP2,Cloud Ring,Prelle,-0.24,"['FQ9W-C', 'O-BDXB', 'G8AD-C', 'XZH-4X']"
Z-Y7R7,Cloud Ring,Prelle,-0.15,"['7D-0SQ', 'O-BDXB', 'G8AD-C']"
28O-JY,Cloud Ring,Miennue,-0.01,"['CX7-70', 'P5-KCC']"
6ON-RW,Cloud Ring,Miennue,-0.01,"['CX7-70', 'U65-CN', 'X-M9ON', 'P5-KCC']"
X-M9ON,Cloud Ring,Miennue,-0.01,"['6ON-RW', 'U65-CN', 'P5-KCC']"
Salah,Kador,Naloran,0.85,"['Hapala', 'Akhmoh']"
Onanam,Aridia,Mareerieh,0.39,"['Sadana', 'Udianoor']"
RL-KT0,Outer Ring,Crown,-0.01,"['C0T-77', 'UO9-YG', 'ZQP-QV', 'ZJQH-S']"
P-NUWP,Outer Ring,Crown,-0.02,"['EF-F36', 'C0T-77', 'ZQP-QV']"
TQ-RR8,Outer Ring,Crown,-0.01,"['0T-AMZ', 'C0T-77', 'ZQP-QV']"
B0C-LD,Outer Ring,Scepter,-0.23,"['ZXI-K2', 'NP6-38', 'W-Z3HW']"
W-Z3HW,Outer Ring,Scepter,-0.03,"['B0C-LD', 'NP6-38']"
YZS5-4,Fountain,Pegasus,-0.02,"['XF-TQL', 'Z9PP-H']"
7-8S5X,Fountain,Centaur,-0.03,['Z9PP-H']
D2AH-Z,Fountain,Centaur,-0.22,['7X-02R']
Arza,Kor-Azor,Tendrara,0.33,['Ranni']
Habu,Genesis,Charak,0.64,"['Anyed', 'Chiga', 'Abhan']"
Asanot,Genesis,Charak,0.45,"['Anyed', 'Itrin']"
Anzalaisio,Genesis,Charak,0.45,"['Anyed', 'Itrin']"
Abhan,Genesis,Charak,0.58,"['Habu', 'Itrin']"
Lela,Genesis,Makh,0.35,['Bantish']
Keri,Genesis,Makh,0.36,['Itrin']
Access,Genesis,Monalaz,0.16,"['Angur', 'Exit']"
Olin,Genesis,Aven,0.31,"['Shalne', 'Otakod']"
Galnafsad,Genesis,Aven,0.24,"['Shalne', 'Shapisin', 'Otakod', 'Azedi']"
Azedi,Genesis,Kihkounad,0.27,"['Bantish', 'Galnafsad', 'Sharza']"
Chidah,Derelik,Anares,0.54,"['Sooma', 'Shenela', 'Onsooh']"
Shamahi,Derelik,Anares,0.36,"['Onsooh', 'Ilahed', 'Kehrara']"
Sendaya,Derelik,Anares,0.29,"['Onsooh', 'Kazna', 'Mifrata', 'Doril']"
Nazhgete,Derelik,Anares,0.39,['Onsooh']
Faspera,Derelik,Ananah,0.13,"['Jaymass', 'Mifrata']"
Majamar,Derelik,Ananah,0.37,"['Mifrata', 'Fera']"
Camal,Derelik,Ananah,0.21,['Jaymass']
Kehrara,Derelik,Mal,0.36,"['Shamahi', 'Shach', 'Arena', 'Dysa']"
Dysa,Derelik,Mal,0.24,"['Asilem', 'Kehrara', 'Arena', 'Mahti']"
MO-FIF,Vale of the Silent,UK-MI6,-0.11,"['KX-2UI', 'MA-XAP']"
97-M96,Vale of the Silent,UK-MI6,-0.19,['KX-2UI']
C-DHON,Vale of the Silent,YDS0-Y,-0.12,['IR-DYY']
F-D49D,Vale of the Silent,YDS0-Y,-0.19,['IR-DYY']
7-PO3P,Vale of the Silent,A3-T8B,-0.26,['UNAG-6']
LS9B-9,Vale of the Silent,0-8MWQ,-0.2,['RVCZ-C']
G96R-F,Vale of the Silent,F-V9QW,-0.87,"['ZA0L-U', 'Y-ZXIO']"
O-LR1H,Vale of the Silent,E-8CSQ,-0.25,"['B-E3KQ', 'Y5J-EU', 'G5ED-Y']"
G5ED-Y,Vale of the Silent,E-8CSQ,-0.27,"['Y5J-EU', 'O-LR1H', 'BR-6XP', '8-TFDX', 'UL-4ZW']"
8-TFDX,Vale of the Silent,E-8CSQ,-0.19,"['Y5J-EU', 'G5ED-Y', 'BR-6XP', 'UL-4ZW']"
A3-RQ3,Vale of the Silent,9KX-M0,-0.3,"['PX5-LR', '9-GBPD', 'LS-JEP']"
LS-JEP,Vale of the Silent,9KX-M0,-0.24,"['A3-RQ3', '9-GBPD']"
R-RSZZ,Vale of the Silent,88G-M4,-0.44,"['UL-4ZW', 'MGAM-4', 'VORM-W', '7G-H7D']"
MGAM-4,Vale of the Silent,88G-M4,-0.58,"['R-RSZZ', 'VORM-W', '7G-H7D', 'Q3-BAY']"
VORM-W,Vale of the Silent,88G-M4,-0.56,"['R-RSZZ', 'MGAM-4', '7G-H7D', 'Q3-BAY']"
F8K-WQ,Great Wildlands,K-DLD2,-0.02,"['504Z-V', 'AB-FZE', 'YUY-LM', 'NE-3GR', 'CRXA-Y']"
AZF-GH,Great Wildlands,V-LQBF,-0.03,"['Y4-GQV', 'CRXA-Y', 'VXO-OM']"
0NV-YU,Great Wildlands,BB8E-G,-0.29,"['WPR-EI', 'V-2GYS', 'W-RFUO']"
V-2GYS,Great Wildlands,BB8E-G,-0.19,"['0NV-YU', '168-6H', 'W-RFUO']"
ZM-DNR,Great Wildlands,BB8E-G,-0.07,"['VKU-BG', 'F-MKH3']"
P1T-LP,Great Wildlands,AP-S8F,-0.06,"['N-DQ0D', 'R-ESG0']"
UNJ-GX,Great Wildlands,V-4QJC,-0.01,"['SL-YBS', '0PI4-E', 'L1S-G1']"
LXTC-S,Great Wildlands,DYK-G8,-0.03,"['N-DQ0D', 'WE3-BX']"
F7A-MR,Great Wildlands,L-TEVM,-0.06,"['HB-1NJ', '0-3VW8']"
K-IYNW,Great Wildlands,I3-2J0,-0.12,"['I6-SYN', 'M9U-75', 'Atioth']"
HED-GP,Catch,UX3-N2,-0.15,"['SV5-8N', 'Keberz']"
G-AOTH,Catch,T-HHHT,-0.14,"['ZQ-Z3Y', 'TA3T-3', 'UL-7I8']"
CSOA-B,Venal,48R-PS,-0.15,"['K3JR-J', '6W-HRH']"
SS-GED,Venal,UTZ-7B,-0.16,"['0-BFTQ', 'AJCJ-1', '4RX-EE']"
AJCJ-1,Venal,UTZ-7B,-0.15,"['SS-GED', '6NJ8-V']"
Y-4CFK,Venal,UTZ-7B,-0.19,['6NJ8-V']
P-GKF5,Venal,E-I1JW,-0.13,"['HBD-CC', 'E-7U8U', '0-XIDJ']"
E-7U8U,Venal,E-I1JW,-0.13,"['HBD-CC', 'P-GKF5']"
SBL5-R,Venal,E-I1JW,-0.13,"['HBD-CC', '0-XIDJ', 'D-SKWC']"
D-SKWC,Venal,E-I1JW,-0.16,"['HBD-CC', 'SBL5-R']"
JURU-T,Venal,Y8-HHZ,-0.12,"['QHJ-FW', 'MC6-5J', '65V-RH', '0-O2UT']"
B-CZXG,Venal,Y8-HHZ,-0.24,"['MC6-5J', '65V-RH', '2PLH-3', 'RQ9-OZ', '0-O2UT']"
Q61Y-F,Venal,Y8-HHZ,-0.66,"['0-O2UT', 'L-IE41']"
EL8-4Q,Pure Blind,U8-CWA,-0.16,"['KI-TL0', 'JC-YX8', '5-9WNU', 'N-H32Y']"
XI-VUF,Pure Blind,U8-CWA,-0.19,['KI-TL0']
A8I-C5,Pure Blind,WMP-OF,-0.12,"['C-H9X7', 'DK-FXK', 'U-INPD']"
6GWE-A,Pure Blind,K-QUVW,-0.08,"['UC3H-Y', 'J-OK0C', 'KDV-DE', 'MT9Q-S']"
KDV-DE,Pure Blind,K-QUVW,-0.09,"['UC3H-Y', '6GWE-A', 'MT9Q-S']"
MT9Q-S,Pure Blind,K-QUVW,-0.09,"['UC3H-Y', '6GWE-A', 'KDV-DE']"
P-2TTL,Pure Blind,LN-L8L,-0.1,"['B-9C24', '7X-VKB', 'E-Z2ZX', 'RORZ-H', 'O-A6YN']"
7X-VKB,Pure Blind,LN-L8L,-0.07,"['B-9C24', 'P-2TTL']"
7D-0SQ,Pure Blind,0A-73B,-0.12,"['Y-C3EQ', 'Z-Y7R7']"
K25-XD,Geminate,NK-AOZ,-0.59,"['LU-HQS', 'U-L4KS']"
Y8R-XZ,Geminate,NK-AOZ,-0.52,['04-LQM']
9P4O-F,Geminate,V1G-63,-1,['Q-TBHW']
D-I9HJ,Geminate,KR-XF4,-0.31,"['U-L4KS', 'P-6I0B', '8-KZXQ', 'Atioth', 'PYY3-5']"
O2O-2X,Geminate,74IL-O,-0.43,"['6YC-TU', 'JE1-36', '5F-YRA']"
Jorus,Heimatar,Urtfer,0.73,['Klir']
T-945F,Deklein,29V-1R,-0.09,"['4U90-Z', 'FO8M-2', 'R8S-1K']"
FO8M-2,Deklein,29V-1R,-0.1,"['4U90-Z', 'T-945F', 'QPO-WI', 'R8S-1K']"
AD-CBT,Deklein,29V-1R,-0.17,['4U90-Z']
Ussad,Devoid,Kabo,0.16,['Ibash']
Satalama,The Bleak Lands,Ohvarainen,0.66,['Furskeshin']
ZN0-SR,Syndicate,Y4Y7-Q,-0.23,"['X-PYH5', '5-DSFH', 'AK-QBU']"
5-T0PZ,Syndicate,TA-A7V,-0.28,"['97X-CH', '6R-PWU', 'A-ZLHX']"
2Q-I6Q,Syndicate,TA-A7V,-0.14,['97X-CH']
Y9G-KS,Syndicate,TA-A7V,-0.38,"['97X-CH', 'UTKS-5', 'Conomette', 'Pertnineere']"
5-75MB,Syndicate,MK7-AO,-0.16,['VV-VCR']
IIRH-G,Syndicate,MK7-AO,-0.26,"['VV-VCR', '35-RK9']"
XYY-IA,Syndicate,YFN-UN,-0.01,['NG-C6Y']
EN-VOD,Syndicate,GN-ACS,-0.03,['10UZ-P']
9GYL-O,Syndicate,GN-ACS,-0.05,"['10UZ-P', 'VLGD-R', 'S-GKKR']"
9U-TTJ,Syndicate,GN-ACS,-0.24,['10UZ-P']
Y-W6GF,Syndicate,59H-0G,-0.01,"['3MOG-V', 'KFR-ZE', 'KLYN-8', '5KS-AB']"
0T-AMZ,Syndicate,QS-FVH,-0.01,"['57-YRU', 'TQ-RR8']"
EF-F36,Syndicate,6-V49K,-0.03,"['3-IN0V', 'DUV-5Y', 'GRNJ-3', 'P-NUWP']"
S-EVIQ,Tenal,M-J57M,-0.05,"['RLTG-3', 'EOY-BG', 'PNS7-J']"
IG-ZAM,Tenal,M-J57M,-0.07,"['EOY-BG', '0-UVHJ', 'NCG-PW']"
GW7P-8,Tenal,2-ZRM0,-0.68,"['Y-YHZQ', 'Z-SR1I', 'A1RR-M', 'AR-5SY', 'OE-4HB']"
A1RR-M,Tenal,2-ZRM0,-0.85,"['GW7P-8', 'SF-XJS', 'AR-5SY', 'OE-4HB']"
AR-5SY,Tenal,2-ZRM0,-0.94,"['GW7P-8', 'A1RR-M', 'OE-4HB']"
E-9ORY,Fade,XFLN-F,-0.27,"['C8-CHY', 'CR-IFM', 'HHK-VL']"
YKSC-A,Fade,7X-X1Y,-0.34,"['X36Y-G', 'FIO1-8', 'C-OK0R']"
8W-OSE,Fade,7X-X1Y,-0.37,"['FIO1-8', 'WQY-IQ']"
9-F0B2,Providence,G2E-RJ,-0.17,"['G-5EN2', 'YWS0-Z', '4B-NQN']"
FC-3YI,Providence,AZBG-H,-0.08,"['U-HYMT', 'QR-K85', '5IO8-U']"
QR-K85,Providence,AZBG-H,-0.06,"['U-HYMT', 'FC-3YI', '5IO8-U', 'DP-JD4']"
5IO8-U,Providence,AZBG-H,-0.05,"['U-HYMT', 'FC-3YI', 'QR-K85', 'DP-JD4']"
SI-I89,Providence,I9B-8X,-0.07,['D-6WS1']
3GXF-U,Providence,5-88B9,-0.08,"['49GC-R', 'VKI-T7', '8P9-BM']"
O-Y5JQ,Providence,P6N8-J,-0.14,"['JEIV-E', 'N-RMSH']"
DNR-7M,Providence,P6N8-J,-0.1,"['JEIV-E', 'K1Y-5H']"
N-RMSH,Providence,P6N8-J,-0.11,"['JEIV-E', 'O-Y5JQ', 'IWZ3-C']"
1-1I53,Providence,04-H4M,-0.07,"['ZT-LPU', 'N8XA-L', '18-GZM']"
8B-VLX,Providence,04-H4M,-0.05,"['X-R3NM', 'G-B22J', 'X6AB-Y']"
G-B22J,Providence,04-H4M,-0.07,"['X-R3NM', '8B-VLX', 'X6AB-Y']"
X6AB-Y,Providence,04-H4M,-0.07,"['AY-24I', 'X-R3NM', '8B-VLX', 'G-B22J']"
Espigoure,Placid,Ganoure,0.05,['Vestouve']
Kenninck,Placid,Ganoure,0.11,['Ausmaert']
Nourbal,Khanid,Youledian,0.41,['Keberz']
Arzanni,Khanid,Youledian,0.55,"['Keberz', 'Ashmarir', 'Afnakat']"
Talidal,Khanid,Sib,0.51,"['Badivefi', 'Ainsan']"
Ashi,Khanid,Sib,0.67,['Badivefi']
Tzashrah,Khanid,Sib,0.53,"['Badivefi', 'Efa', 'Sabusi']"
Ham,Khanid,Seevadin,0.24,"['Vezila', 'Upt', 'Amafi']"
